pic_id,latitude,longitude,county,region,country
52174521170,8.614831,81.218490,Trincomalee District,Eastern Province,Sri Lanka
52168220710,8.164834,80.910530,Polonnaruwa District,North Central Province,Sri Lanka
52165556729,8.149983,80.904633,Polonnaruwa District,North Central Province,Sri Lanka
52163097059,52.140080,5.727538,Gemeente Ede,Provincie Gelderland,Holland
52151259515,7.224555,79.839472,Gemeente Ede,Western Province,Sri Lanka
52148806479,6.024503,80.219807,Galle District,Southern Province,Sri Lanka
52121906734,8.150083,80.906083,Polonnaruwa District,North Central Province,Sri Lanka
52049105550,9.773039,80.276412,Jaffna District,Northern Province,Sri Lanka
52035787124,9.249475,80.791654,Mullaitivu District,Northern Province,Sri Lanka
52032917740,6.192139,81.240077,Hambantota District,Southern Province,Sri Lanka
52028693133,6.450411,80.819549,Ratnapura District,Sabaragamuwa Province,Sri Lanka
52026393994,9.831503,80.199959,Ratnapura District,Northern Province,Sri Lanka
52022847811,6.450411,80.819549,Ratnapura District,Sabaragamuwa Province,Sri Lanka
52021576618,6.450411,80.819549,Ratnapura District,Sabaragamuwa Province,Sri Lanka
52011765420,7.003280,80.410328,Kegalle District,Sabaragamuwa Province,Sri Lanka
52010222407,7.278016,79.847259,Puttalam District,North Western Province,Sri Lanka
52011303798,6.450411,80.819549,Ratnapura District,Sabaragamuwa Province,Sri Lanka
52006199104,9.765456,79.942574,Jaffna District,Northern Province,Sri Lanka
52003707011,45.031136,7.664487,Turin,Piedmont,Italy
52001535131,45.031272,7.664154,Turin,Piedmont,Italy
51995173734,9.831503,80.199959,Turin,Northern Province,Sri Lanka
51992728206,9.825008,80.170218,Jaffna District,Northern Province,Sri Lanka
51990557338,7.952391,80.760626,Matale District,Central Province,Sri Lanka
51987787017,6.933243,79.851036,Colombo District,Western Province,Sri Lanka
51989255990,9.773039,80.276412,Jaffna District,Northern Province,Sri Lanka
51983776004,7.285849,79.856357,Puttalam District,North Western Province,Sri Lanka
51976789761,6.980102,81.060605,Badulla District,Province of Uva,Sri Lanka
51961378852,9.662616,80.004994,Jaffna District,Northern Province,Sri Lanka
51961365899,9.831503,80.199959,Jaffna District,Northern Province,Sri Lanka
51959931856,5.999685,80.750727,Hambantota District,Southern Province,Sri Lanka
51955041965,7.029864,79.921438,Gampaha District,Western Province,Sri Lanka
51953824988,5.999621,80.749762,Hambantota District,Southern Province,Sri Lanka
51948909703,6.901332,79.853096,Colombo District,Western Province,Sri Lanka
51945530206,9.825008,80.170218,Jaffna District,Northern Province,Sri Lanka
6325785041,6.939186,79.854211,Colombo,Western,Sri Lanka
51948909703,6.901332,79.853096,Colombo District,Western Province,Sri Lanka
51945530206,9.825008,80.170218,Jaffna District,Northern Province,Sri Lanka
51944935848,5.998269,80.748540,Hambantota District,Southern Province,Sri Lanka
51941404516,6.474291,80.854339,Hambantota District,Province of Uva,Sri Lanka
51940045683,7.294111,80.640363,Kandy District,Central Province,Sri Lanka
51939965021,7.289124,80.644312,Kandy District,Central Province,Sri Lanka
51938553707,7.245379,79.840961,Gampaha District,Western Province,Sri Lanka
51935941485,5.999191,80.749516,Hambantota District,Southern Province,Sri Lanka
51930906747,7.245379,79.840961,Gampaha District,Western Province,Sri Lanka
51926788722,6.002243,80.752230,Hambantota District,Southern Province,Sri Lanka
51923569473,5.999191,80.749516,Hambantota District,Southern Province,Sri Lanka
51920956524,9.826044,80.200699,Jaffna District,Northern Province,Sri Lanka
51916201112,7.951184,80.998077,Polonnaruwa District,North Central Province,Sri Lanka
51917162006,7.881066,80.638275,Matale District,Central Province,Sri Lanka
51917149921,7.951184,80.998077,Polonnaruwa District,North Central Province,Sri Lanka
51915763708,7.951184,80.998077,Polonnaruwa District,North Central Province,Sri Lanka
51913773051,7.881066,80.638275,Matale District,Central Province,Sri Lanka
51912770477,7.957325,80.753429,Matale District,Central Province,Sri Lanka
51914050760,7.951184,80.998077,Polonnaruwa District,North Central Province,Sri Lanka
51913955315,7.951184,80.998077,Polonnaruwa District,North Central Province,Sri Lanka
51912597260,7.881066,80.638275,Matale District,Central Province,Sri Lanka
51911193138,9.773039,80.276412,Jaffna District,Northern Province,Sri Lanka
51905276049,9.825135,80.170326,Jaffna District,Northern Province,Sri Lanka
51902116437,9.825135,80.170326,Jaffna District,Northern Province,Sri Lanka
51901204264,6.258861,81.404602,Hambantota District,Southern Province,Sri Lanka
51901527565,6.258747,81.404422,Hambantota District,Southern Province,Sri Lanka
51898049442,9.662696,80.005069,Jaffna District,Northern Province,Sri Lanka
51889988812,8.349611,80.396561,Anuradhapura District,North Central Province,Sri Lanka
51890990215,6.305988,81.442786,Hambantota District,Southern Province,Sri Lanka
51889575549,6.000411,80.757865,Hambantota District,Southern Province,Sri Lanka
51888238941,9.825135,80.170326,Jaffna District,Northern Province,Sri Lanka
51887019364,6.260738,81.403005,Hambantota District,Southern Province,Sri Lanka
51887348935,6.335475,81.455563,Hambantota District,Southern Province,Sri Lanka
51882949784,9.828907,80.238454,Jaffna District,Northern Province,Sri Lanka
51881812031,6.000475,80.752315,Hambantota District,Southern Province,Sri Lanka
51876233491,6.002801,80.761985,Hambantota District,Southern Province,Sri Lanka
51863876632,5.998362,80.748252,Hambantota District,Southern Province,Sri Lanka
